Entry_Date,Exit_Date,Regime,Lots,CE_Entry,PE_Entry,Straddle_Entry,CE_Exit,PE_Exit,Straddle_Exit,Gross_PnL,Taxes,Slippage_Cost,Net_PnL,Equity,Reason,Peak,Drawdown_Pct
2023-06-12 12:00:00,2023-06-12 12:30:00,YELLOW,1,102.05,51.55,153.68,79.51,66.67,146.18,-487.5,68.2,9.75,-555.7,527620.32,TIME_OUT,528368.64,0.14
2023-06-12 13:00:00,2023-06-12 13:30:00,YELLOW,1,81.85,63.9,145.82,94.6,54.72,149.33,227.66,68.23,9.59,159.43,527779.75,TIME_OUT,528368.64,0.11
2023-06-12 13:35:00,2023-06-12 14:05:00,YELLOW,1,95.7,53.35,149.12,94.65,52.62,147.28,-120.13,68.14,9.63,-188.27,527591.48,TIME_OUT,528368.64,0.15
2023-06-13 10:10:00,2023-06-13 10:40:00,YELLOW,2,66.45,53.45,119.96,66.47,52.72,119.19,-100.04,81.04,15.54,-181.08,527410.4,TIME_OUT,528368.64,0.18
2023-06-13 10:45:00,2023-06-13 11:15:00,YELLOW,2,66.1,53.0,119.16,68.07,51.62,119.69,68.97,81.08,15.53,-12.1,527398.29,TIME_OUT,528368.64,0.18
2023-06-13 11:20:00,2023-06-13 11:50:00,YELLOW,2,68.2,51.05,119.31,69.42,49.88,119.29,-2.51,81.01,15.51,-83.52,527314.77,TIME_OUT,528368.64,0.2
2023-06-13 11:55:00,2023-06-13 12:25:00,YELLOW,2,71.7,48.15,119.91,69.87,47.63,117.49,-314.43,80.68,15.43,-395.11,526919.66,TIME_OUT,528368.64,0.27
2023-06-13 12:30:00,2023-06-13 13:00:00,YELLOW,2,68.75,48.7,117.51,68.37,48.33,116.69,-106.22,80.33,15.22,-186.56,526733.11,TIME_OUT,528368.64,0.31
2023-06-13 13:05:00,2023-06-13 13:35:00,YELLOW,2,68.2,48.1,116.36,65.12,49.38,114.49,-242.51,79.79,15.01,-322.3,526410.81,TIME_OUT,528368.64,0.37
2023-06-13 13:40:00,2023-06-13 14:10:00,YELLOW,2,65.4,49.1,114.56,54.87,56.27,111.14,-443.67,78.96,14.67,-522.63,525888.18,TIME_OUT,528368.64,0.47
2023-06-13 14:15:00,2023-06-13 14:45:00,YELLOW,2,56.9,53.6,110.56,57.82,52.52,110.34,-27.36,78.49,14.36,-105.85,525782.33,TIME_OUT,528368.64,0.49
2023-06-13 14:50:00,2023-06-13 15:10:00,GREEN,4,61.8,49.45,111.31,69.37,43.23,112.59,334.89,110.82,29.11,224.07,526006.41,EOD,528368.64,0.45
2023-06-14 11:25:00,2023-06-14 11:44:00,YELLOW,2,39.85,53.45,93.35,67.12,53.67,120.79,3567.58,79.33,13.92,3488.25,529494.66,TARGET,529494.66,0.0
2023-06-14 11:50:00,2023-06-14 12:20:00,YELLOW,2,39.95,52.7,92.7,45.33,46.38,91.7,-128.99,73.27,11.99,-202.25,529292.41,TIME_OUT,529494.66,0.04
2023-06-14 12:25:00,2023-06-14 12:55:00,YELLOW,2,45.0,47.25,92.3,42.78,47.23,90.0,-297.85,72.88,11.85,-370.73,528921.67,TIME_OUT,529494.66,0.11
2023-06-14 13:00:00,2023-06-14 13:30:00,YELLOW,2,44.2,46.45,90.7,54.32,37.48,91.8,144.14,73.13,11.86,71.01,528992.68,TIME_OUT,529494.66,0.09
2023-06-14 13:45:00,2023-06-14 14:15:00,YELLOW,2,48.45,40.3,88.79,53.17,37.53,90.7,248.33,72.76,11.67,175.57,529168.25,TIME_OUT,529494.66,0.06
2023-06-14 14:40:00,2023-06-14 15:10:00,YELLOW,2,51.15,38.6,89.79,49.63,37.33,86.96,-368.99,72.06,11.49,-441.05,528727.2,TIME_OUT,529494.66,0.14
2023-06-16 10:15:00,2023-06-16 10:45:00,GREEN,3,109.95,56.65,166.68,113.24,73.01,186.26,3816.84,124.13,34.41,3692.71,532419.92,TIME_OUT,532419.92,0.0
2023-06-16 10:50:00,2023-06-16 11:20:00,GREEN,3,110.85,58.05,168.98,107.35,60.77,168.12,-169.37,118.77,32.87,-288.13,532131.78,TIME_OUT,532419.92,0.05
2023-06-16 11:25:00,2023-06-16 11:55:00,GREEN,3,102.25,64.0,166.33,111.19,56.67,167.87,298.92,118.38,32.58,180.53,532312.31,TIME_OUT,532419.92,0.02
2023-06-16 12:00:00,2023-06-16 12:30:00,GREEN,3,115.45,54.05,169.58,107.45,70.76,178.21,1682.09,121.96,33.91,1560.12,533872.44,TIME_OUT,533872.44,0.0
2023-06-16 12:45:00,2023-06-16 13:15:00,GREEN,3,102.85,63.25,166.18,108.85,55.62,164.47,-334.49,117.31,32.24,-451.8,533420.64,TIME_OUT,533872.44,0.08
2023-06-16 13:20:00,2023-06-16 13:50:00,GREEN,3,104.35,58.45,162.88,108.85,54.97,163.82,182.65,116.73,31.85,65.92,533486.55,TIME_OUT,533872.44,0.07
2023-06-16 13:55:00,2023-06-16 14:25:00,GREEN,3,109.15,55.1,164.33,115.59,53.97,169.57,1020.44,118.68,32.55,901.76,534388.32,TIME_OUT,534388.32,0.0
2023-06-19 10:05:00,2023-06-19 10:09:00,GREEN,3,96.05,53.9,150.02,100.5,70.96,171.46,4180.65,117.62,31.35,4063.03,538451.35,TARGET,538451.35,0.0
2023-06-19 13:05:00,2023-06-19 13:32:00,YELLOW,1,83.75,58.45,142.27,105.25,70.26,175.51,2160.67,70.8,10.33,2089.88,540541.22,TARGET,540541.22,0.0
2023-06-19 14:10:00,2023-06-19 14:40:00,YELLOW,1,76.1,67.75,143.92,98.3,47.63,145.93,130.33,67.8,9.42,62.53,540603.75,TIME_OUT,540603.75,0.0
2023-06-20 10:10:00,2023-06-20 10:29:00,YELLOW,2,72.4,51.75,124.21,79.36,64.67,144.03,2576.06,86.5,17.44,2489.57,543093.32,TARGET,543093.32,0.0
2023-06-20 10:55:00,2023-06-20 11:25:00,YELLOW,2,59.4,61.95,121.41,69.02,51.77,120.79,-80.74,81.48,15.74,-162.22,542931.1,TIME_OUT,543093.32,0.03
2023-06-20 12:05:00,2023-06-20 12:35:00,YELLOW,2,75.9,46.5,122.46,81.76,42.43,124.19,224.47,82.26,16.03,142.21,543073.3,TIME_OUT,543093.32,0.0
2023-06-20 12:40:00,2023-06-20 12:45:00,YELLOW,2,85.0,40.95,126.01,84.31,60.57,144.88,2452.39,86.81,17.61,2365.58,545438.88,TARGET,545438.88,0.0
2023-06-20 13:40:00,2023-06-20 14:10:00,YELLOW,2,76.4,43.85,120.31,67.17,48.08,115.24,-658.81,80.25,15.31,-739.06,544699.82,TIME_OUT,545438.88,0.14
2023-06-20 14:20:00,2023-06-20 14:50:00,YELLOW,2,65.85,49.3,115.21,74.66,40.23,114.89,-40.96,79.78,14.96,-120.74,544579.08,TIME_OUT,545438.88,0.16
2023-06-20 14:55:00,2023-06-20 15:10:00,YELLOW,2,77.25,37.45,114.76,66.72,55.22,121.94,933.61,81.21,15.39,852.41,545431.49,EOD,545438.88,0.0
2023-06-21 10:15:00,2023-06-21 10:45:00,YELLOW,2,58.8,43.2,102.05,39.88,54.27,94.15,-1026.75,74.49,12.75,-1101.24,544330.25,TIME_OUT,545438.88,0.2
2023-06-21 11:45:00,2023-06-21 12:00:00,YELLOW,2,40.0,56.0,96.05,62.72,56.37,119.09,2995.52,79.18,13.98,2916.33,547246.58,TARGET,547246.58,0.0
2023-06-21 12:10:00,2023-06-21 12:20:00,YELLOW,2,37.85,59.35,97.25,60.32,60.97,121.29,3125.29,79.73,14.2,3045.56,550292.15,TARGET,550292.15,0.0
2023-06-21 13:35:00,2023-06-21 14:05:00,YELLOW,2,48.75,44.0,92.8,50.27,41.38,91.65,-148.49,73.26,11.99,-221.75,550070.39,TIME_OUT,550292.15,0.04
2023-06-21 14:30:00,2023-06-21 15:00:00,YELLOW,2,43.55,45.6,89.19,45.43,39.18,84.61,-596.3,71.53,11.3,-667.83,549402.57,TIME_OUT,550292.15,0.16
2023-06-23 10:10:00,2023-06-23 10:40:00,GREEN,3,96.5,81.1,177.69,100.7,72.76,173.46,-823.99,121.43,34.24,-945.41,548457.15,TIME_OUT,550292.15,0.33
2023-06-23 10:45:00,2023-06-23 11:15:00,GREEN,3,102.55,71.9,174.54,101.55,72.46,174.01,-102.23,121.23,33.98,-223.47,548233.69,TIME_OUT,550292.15,0.37
2023-06-23 11:30:00,2023-06-23 12:00:00,GREEN,3,96.8,75.7,172.59,105.4,67.07,172.46,-23.89,120.53,33.64,-144.42,548089.27,TIME_OUT,550292.15,0.4
2023-06-23 12:05:00,2023-06-23 12:35:00,GREEN,3,110.75,63.1,173.94,88.96,82.56,171.51,-472.43,120.39,33.68,-592.82,547496.45,TIME_OUT,550292.15,0.51
2023-06-23 12:50:00,2023-06-23 13:20:00,GREEN,3,91.25,74.7,166.03,101.4,67.27,168.67,513.37,118.6,32.63,394.77,547891.22,TIME_OUT,550292.15,0.44
2023-06-23 13:45:00,2023-06-23 14:15:00,GREEN,3,102.25,66.25,168.58,89.71,75.01,164.72,-754.0,117.67,32.5,-871.66,547019.55,TIME_OUT,550292.15,0.59
2023-06-23 14:45:00,2023-06-23 15:04:00,GREEN,3,88.95,71.6,160.63,112.89,72.81,185.71,4889.98,123.26,33.77,4766.72,551786.28,TARGET,551786.28,0.0
2023-06-26 10:05:00,2023-06-26 10:12:00,GREEN,3,96.0,57.3,153.38,97.35,77.46,174.81,4180.0,119.05,32.0,4060.95,555847.23,TARGET,555847.23,0.0
2023-06-26 10:45:00,2023-06-26 11:15:00,GREEN,3,93.9,58.0,151.98,96.3,53.07,149.38,-507.13,111.0,29.38,-618.13,555229.1,TIME_OUT,555847.23,0.11
2023-06-26 11:20:00,2023-06-26 11:50:00,YELLOW,1,104.35,47.2,151.63,75.46,67.52,142.98,-562.07,67.79,9.57,-629.87,554599.23,TIME_OUT,555847.23,0.22
2023-06-26 12:05:00,2023-06-26 12:35:00,YELLOW,2,75.5,65.85,141.42,71.66,68.37,140.03,-180.79,86.99,18.29,-267.79,554331.45,TIME_OUT,555847.23,0.27
2023-06-26 13:20:00,2023-06-26 13:27:00,YELLOW,1,89.95,53.05,143.07,94.7,69.47,164.17,1371.26,69.65,9.99,1301.61,555633.06,TARGET,555847.23,0.04
2023-06-26 13:30:00,2023-06-26 14:00:00,YELLOW,2,90.7,51.4,142.17,89.26,51.97,141.23,-122.42,87.3,18.42,-209.72,555423.34,TIME_OUT,555847.23,0.08
2023-06-26 14:05:00,2023-06-26 14:35:00,YELLOW,2,83.9,56.55,140.52,92.8,48.38,141.18,85.69,87.16,18.31,-1.47,555421.87,TIME_OUT,555847.23,0.08
2023-06-26 14:55:00,2023-06-26 14:57:00,YELLOW,2,93.55,47.1,140.72,92.95,66.02,158.97,2372.52,90.85,19.48,2281.67,557703.54,TARGET,557703.54,0.0
2023-06-27 10:15:00,2023-06-27 10:35:00,YELLOW,2,51.95,58.35,110.36,76.66,59.02,135.68,3292.51,83.71,15.99,3208.8,560912.33,TARGET,560912.33,0.0
2023-06-27 11:10:00,2023-06-27 11:18:00,YELLOW,2,74.25,40.0,114.31,78.61,54.77,133.38,2479.9,83.54,16.1,2396.36,563308.7,TARGET,563308.7,0.0
2023-06-27 11:20:00,2023-06-27 11:50:00,YELLOW,2,77.2,36.6,113.86,52.32,54.62,106.95,-898.35,78.04,14.35,-976.39,562332.31,TIME_OUT,563308.7,0.17
2023-06-27 12:25:00,2023-06-27 12:55:00,GREEN,5,52.15,43.7,95.9,45.38,47.08,92.45,-1119.36,113.36,30.61,-1232.72,561099.58,TIME_OUT,563308.7,0.39
2023-06-27 13:00:00,2023-06-27 13:30:00,GREEN,5,42.9,48.7,91.65,44.98,44.48,89.46,-711.93,111.0,29.43,-822.93,560276.66,TIME_OUT,563308.7,0.54
2023-06-27 13:35:00,2023-06-27 14:05:00,GREEN,5,44.95,44.1,89.09,49.98,38.88,88.86,-77.67,110.2,28.92,-187.87,560088.79,TIME_OUT,563308.7,0.57
2023-06-27 14:40:00,2023-06-27 14:46:00,GREEN,5,36.15,52.15,88.34,56.97,54.07,111.04,7377.6,121.52,32.4,7256.08,567344.87,TARGET,567344.87,0.0
2023-06-30 10:10:00,2023-06-30 10:40:00,GREEN,3,89.65,87.25,176.99,85.96,89.95,175.91,-209.91,122.1,34.41,-332.01,567012.85,TIME_OUT,567344.87,0.06
2023-06-30 10:45:00,2023-06-30 11:15:00,GREEN,3,91.8,83.7,175.59,94.85,79.36,174.21,-268.11,121.42,34.11,-389.52,566623.33,TIME_OUT,567344.87,0.13
2023-06-30 11:20:00,2023-06-30 11:50:00,GREEN,3,94.55,79.55,174.19,103.15,74.96,178.11,765.15,122.46,34.35,642.69,567266.02,TIME_OUT,567344.87,0.01
2023-06-30 11:55:00,2023-06-30 12:25:00,GREEN,3,99.05,77.6,176.74,102.35,74.96,177.31,111.73,122.51,34.52,-10.78,567255.24,TIME_OUT,567344.87,0.02
2023-06-30 12:30:00,2023-06-30 12:32:00,GREEN,3,76.95,96.8,173.84,102.5,95.75,198.25,4760.72,128.67,36.28,4632.05,571887.29,TARGET,571887.29,0.0
2023-06-30 12:50:00,2023-06-30 12:53:00,GREEN,3,78.15,94.25,172.49,105.3,91.95,197.25,4829.2,128.2,36.05,4701.0,576588.29,TARGET,576588.29,0.0
2023-06-30 12:55:00,2023-06-30 13:25:00,GREEN,3,81.75,89.45,171.29,87.51,86.56,174.06,541.58,120.87,33.67,420.7,577008.99,TIME_OUT,577008.99,0.0
2023-06-30 13:35:00,2023-06-30 14:05:00,GREEN,3,86.95,87.4,174.44,86.41,87.31,173.71,-141.19,121.13,33.94,-262.32,576746.67,TIME_OUT,577008.99,0.05
2023-06-30 14:10:00,2023-06-30 14:40:00,GREEN,3,87.65,83.8,171.54,92.25,77.31,169.57,-384.26,119.51,33.26,-503.77,576242.9,TIME_OUT,577008.99,0.13
2023-06-30 14:45:00,2023-06-30 15:10:00,GREEN,3,90.85,79.05,169.98,71.01,91.2,162.22,-1514.39,117.05,32.39,-1631.44,574611.46,EOD,577008.99,0.42
2023-07-03 10:20:00,2023-07-03 10:50:00,GREEN,3,95.6,77.2,172.89,90.9,76.41,167.32,-1086.17,118.97,33.17,-1205.14,573406.33,TIME_OUT,577008.99,0.62
2023-07-03 10:55:00,2023-07-03 11:25:00,YELLOW,1,88.2,77.4,165.68,88.01,71.06,159.07,-429.8,69.99,10.55,-499.8,572906.53,TIME_OUT,577008.99,0.71
2023-07-03 13:05:00,2023-07-03 13:35:00,YELLOW,1,68.4,85.4,153.88,92.3,62.52,154.82,61.47,69.1,10.03,-7.63,572898.89,TIME_OUT,577008.99,0.71
2023-07-04 11:00:00,2023-07-04 11:30:00,YELLOW,2,63.05,72.0,135.12,65.82,67.57,133.38,-225.45,85.13,17.45,-310.59,572588.31,TIME_OUT,577008.99,0.77
2023-07-04 11:40:00,2023-07-04 12:10:00,YELLOW,2,63.4,68.55,132.02,75.31,57.87,133.18,151.76,84.85,17.24,66.91,572655.21,TIME_OUT,577008.99,0.75
2023-07-04 13:00:00,2023-07-04 13:30:00,GREEN,4,61.0,66.9,127.96,51.27,81.96,133.23,1370.04,121.91,33.96,1248.14,573903.35,TIME_OUT,577008.99,0.54
2023-07-04 14:00:00,2023-07-04 14:30:00,YELLOW,2,71.5,58.85,130.42,71.66,54.07,125.74,-608.15,83.19,16.65,-691.34,573212.01,TIME_OUT,577008.99,0.66
2023-07-04 15:00:00,2023-07-04 15:10:00,GREEN,4,49.85,70.8,120.71,55.67,62.52,118.19,-655.06,114.58,31.06,-769.63,572442.37,EOD,577008.99,0.79
2023-07-05 10:05:00,2023-07-05 10:28:00,YELLOW,2,53.35,68.75,122.16,74.11,74.41,148.53,3427.4,87.27,17.59,3340.13,575782.51,TARGET,577008.99,0.21
